uuid,name,description,class,shortname,datatype,units,High Normal,Low Normal,synonym.1,synonym.2,answer.1,answer.2,answer.3,answer.4,answer.5,answer.6,answer.7,answer.8,answer.9,answer.10,answer.11,answer.12,reference-term-source,reference-term-code,reference-term-relationship,reference-term-source,reference-term-code,reference-term-relationship
,"ER-MSK",,Misc,MSK,Coded,,,,,,Pain,Stiffness,Joint swelling,ROM,Functional deficits,,,,,,,,,,,,,
,"ER-Skin or breast",,Misc,Skin / Breast,Coded,,,,,,Pruritus,General rash,Wound,Nodules,Tumors,Dryness,Lumps,Nipple discharge,,,,,,,,,,
,"ER-Neuro",,Misc,Neuro,Coded,,,,,,Change in shight,Change in smell,Change in hearing,Change in taste,Seizures,Faints,Parasthesias,Numbness,Weakness,Balance,Change in speech,,,,,,,
,"ER-Psych",,Misc,Psych,Coded,,,,,,Depression,Sleep changes,Anxiety,Performance,Paranoia,Lack of energy,Mania,,,,,,,,,,,
,"ER-Endocrine",,Misc,Endocrine,Coded,,,,,,Heat and cold intolerence,Polyuria,Polydypsia,Darkening of skin,,,,,,,,,,,,,,
,"ER-Heme and lymph",,Misc,Heme / Lymph,Coded,,,,,,Purpura,Petechial,Excessive bleeding,,,,,,,,,,,,,,,
,"ER-Allergic / immunologic",,Misc,Allergic / Immunologic,Coded,,,,,,Swelling,Choking,,,,,,,,,,,,,,,,
,"ER-Current home medications",,Misc,Current Home Medications,Text,,,,,,,,,,,,,,,,,,,,,,,
,"ER-Non compliance",,Misc,Non Compliance,Boolean,,,,,,,,,,,,,,,,,,,,,,,
,"ER-Non compliance reason",,Misc,Non Compliance reason,Text,,,,,,,,,,,,,,,,,,,,,,,
,"ER-Allergies",,Misc,Allergies,Text,,,,,,,,,,,,,,,,,,,,,,,
,"ER General note, Medical / Surgical History",,Misc,Past medical or surgical history,Text,,,,,,,,,,,,,,,,,,,,,,,
,"ER-Family history",,Misc,Family History,Text,,,,,,,,,,,,,,,,,,,,,,,
,"ER General note, Lives Where",,Misc,Lives where,Text,,,,,,,,,,,,,,,,,,,,,,,
,"ER General note, Lives With",,Misc,Lives with,Text,,,,,,,,,,,,,,,,,,,,,,,
,"ER General note, Work",,Misc,Work,Text,,,,,,,,,,,,,,,,,,,,,,,
,"ER-Cigarette smoker",Cigarettes/day or Packs/day? Years?,Misc,Cigaratte Smoker,Coded,,,,,,Current smoker,Non-smoker,Former smoker,,,,,,,,,,,,,,,
,"ER-Other forms of tobacco",,Misc,Other Forms of Tobacco,Boolean,,,,,,,,,,,,,,,,,,,,,,,
,"ER-Alcohol use","Drinks/day, Type of Alcohol",Misc,Alcohol use,Boolean,,,,,,,,,,,,,,,,,,,,,,,
,"ER-Evidence of alcohol abuse","CAGE Questionnaire<br>
Have you ever felt you needed to Cut down on your drinking?<br>
Have people Annoyed you by criticizing your drinking?<br>
Have you ever felt Guilty about drinking?<br>
Have you ever felt you needed a drink first thing in the morning (Eye-opener) to steady your nerves or to get rid of a hangover?",Misc,Evidence of Alcohol abuse,Boolean,,,,,,,,,,,,,,,,,,,,,,,
,"ER-Illicit drug use",,Misc,Illicit drug use,Boolean,,,,,,,,,,,,,,,,,,,,,,,
,"ER-Physical examination details","General <br>
HEENT<br>
CV<br>
Lungs<br>
Abdomen<br>
MSK<br>
Skin<br>
Neuro <br>
Psych<br>",Misc,Physical Examination Details,Text,,,,,,,,,,,,,,,,,,,,,,,
,"ER-Lab studies",,Misc,Lab Studies,Text,,,,,,,,,,,,,,,,,,,,,,,
,"ER-Radiology",,Misc,Radiology,Text,,,,,,,,,,,,,,,,,,,,,,,
,"ER General note, EKG",,Misc,EKG,Text,,,,,,,,,,,,,,,,,,,,,,,
,"ER-Microbiology",,Misc,Microbiology,Text,,,,,,,,,,,,,,,,,,,,,,,
,"ER-Problem","Most likely diagnosis and other differential diagnosis (space for 2-3 others)<br>
Stable, unstable, improved / worse / same<br>
Patient counseling and education on ____<br>
Diagnostic plan and orders<br>
Medication plan and prescription<br>",Misc,Problem,Text,,,,,,,,,,,,,,,,,,,,,,,
